300	8.41
600	16.27
900	25.16
1200	35.2
1500	43.19
1800	52.62
2100	60.97
2400	71.06
2700	80.41
3000	89.75
3300	98.18
3600	106.47
3900	114.41
4200	122.04
4500	130.61
4800	138.72
5100	147.14
5400	155.96
5700	163.76
6000	171.71
6300	179.14
6600	187.13
6900	194.62
7200	202.95
7500	211.31
7800	218.04
8100	224.96
8400	232.67
8700	240.65
9000	247.86
9300	256.54
9600	264.27
9900	271.19
10200	278.48
10500	285.95
10800	293.68
11100	300.67
11400	308.19
11700	316.26
12000	323.52
12300	329.85
12600	337.0
12900	343.31
13200	350.43
13500	358.05
13800	365.15
14100	372.17
14400	378.98
14700	384.67
15000	391.84
15300	398.35
15600	404.63
15900	412.39
16200	420.18
16500	427.58
16800	434.36
17100	440.48
17400	447.38
17700	452.8
18000	459.51
18300	465.46
18600	472.24
18900	478.24
19200	483.49
19500	490.04
19800	495.84
20100	501.77
20400	507.16
20700	511.77
21000	517.17
21300	522.87
21600	528.95
21900	534.4
22200	539.49
22500	545.23
22800	550.6
23100	554.93
23400	560.18
23700	565.21
24000	569.49
24300	574.22
24600	580.17
24900	585.84
25200	590.56
25500	594.44
25800	598.92
26100	604.08
26400	608.14
26700	612.08
27000	616.19
27300	620.23
27600	624.4
27900	628.7
28200	632.94
28500	637.59
28800	641.8
29100	644.91
29400	648.41
29700	651.69
30000	654.84
30300	658.03
30600	661.36
30900	664.69
31200	668.12
31500	670.72
31800	673.59
32100	676.19
32400	678.48
32700	680.82
33000	683.83
33300	686.78
33600	689.68
33900	692.42
34200	695.51
34500	698.41
34800	700.59
35100	702.69
35400	705.12
35700	707.29
36000	709.34
36300	711.39
36600	713.38
36900	715.43
37200	716.72
37500	718.52
37800	719.83
38100	721.09
38400	722.33
38700	723.64
39000	724.84
39300	725.89
39600	727.56
39900	728.81
40200	729.72
40500	730.44
40800	731.18
41100	731.89
41400	732.45
41700	732.87
42000	733.72
42300	734.17
42600	734.78
42900	735.25
43200	735.89
43500	736.43
43800	737.05
44100	737.43
44400	737.72
44700	738.26
45000	738.69
45300	738.86
45600	738.96
45900	739.36
46200	739.66
46500	739.94
46800	740.08
47100	740.28
47400	740.64
47700	740.96
48000	741.29
48300	741.53
48600	741.55
48900	741.84
49200	742.06
49500	742.19
49800	742.21
50100	742.33
50400	742.52
50700	742.65
51000	742.67
51300	742.71
51600	742.71
51900	742.67
52200	742.74
52500	742.75
52800	742.75
53100	742.79
53400	742.87
53700	742.93
54000	742.94
54300	742.94
54600	742.95
54900	742.96
55200	742.97
55500	742.93
55800	743.02
56100	743.03
56400	743.03
56700	743.03
57000	743.03
57300	743.03
57600	743.03
57900	743.03
58200	743.03
58500	743.03
58800	743.03
59100	743.03
59400	743.04
59700	743.05
60000	743.05
